"State/Region","Count of Deals","School Type"
"az","3","District"
"ca","1","Charter"
"ca","1","District"
"ga","2","District"
"ga","1","Charter"
"id","2","District"
"ks","3","District"
"ma","1","Private"
"md","1","Charter"
"mi","16","District"
"mn","2","Charter"
"nc","1","Charter"
"nm","1","District"
"nm","3","Charter"
"ok","1","District"
"or","4","District"
"or","2","Charter"
"pa","1","Charter"
"tn","1","Charter"
"tx","20","District"
"tx","1","Charter"
"ut","1","Charter"
"wa","1","District"
"(No value)","3","District"
